,Order ID,Ship Mode,Customer ID,Product ID,Discount,Quantity,Sales,Profit,last_ordered,Returned
0,CA-2014-100006,Standard Class,DK-13375,TEC-PH-10002075-0,0.0,3,377.97,109.6113,3821,No
1,CA-2014-100090,Standard Class,EB-13705,FUR-TA-10003715-0,0.2,3,502.488,-87.9354,3882,No
2,CA-2014-100090,Standard Class,EB-13705,OFF-BI-10001597-0,0.2,6,196.704,68.8464,3882,No
3,CA-2014-100293,Standard Class,NF-18475,OFF-PA-10000176-0,0.2,6,91.056,31.8696,3998,No
4,CA-2014-100328,Standard Class,JC-15340,OFF-BI-10000343-0,0.2,1,3.928,1.3257,4043,No
5,CA-2014-100363,Standard Class,JM-15655,OFF-FA-10000611-0,0.2,2,2.368,0.8288,3973,No
6,CA-2014-100363,Standard Class,JM-15655,OFF-PA-10004733-0,0.2,3,19.008,6.8904,3973,No
7,CA-2014-100391,Standard Class,BW-11065,OFF-PA-10001471-0,0.0,2,14.62,6.7252,3926,No
8,CA-2014-100678,Standard Class,KM-16720,FUR-CH-10002602-0,0.3,3,317.058,-18.1176,3963,No
9,CA-2014-100678,Standard Class,KM-16720,OFF-AR-10001868-0,0.2,2,2.688,1.008,3963,No
10,CA-2014-100678,Standard Class,KM-16720,OFF-EN-10000056-0,0.2,3,149.352,50.4063,3963,No
11,CA-2014-100678,Standard Class,KM-16720,TEC-AC-10000474-0,0.2,3,227.976,28.497,3963,No
12,CA-2014-100706,Second Class,LE-16810,FUR-FU-10002268-0,0.0,6,29.46,9.7218,3721,No
13,CA-2014-100706,Second Class,LE-16810,TEC-AC-10001314-0,0.0,2,99.98,7.9984,3721,No
14,CA-2014-100762,Standard Class,NG-18355,OFF-AR-10000380-0,0.0,4,151.92,45.576,3743,Yes
15,CA-2014-100762,Standard Class,NG-18355,OFF-LA-10003930-0,0.0,2,196.62,96.3438,3743,Yes
16,CA-2014-100762,Standard Class,NG-18355,OFF-PA-10001815-0,0.0,3,144.12,69.1776,3743,Yes
17,CA-2014-100762,Standard Class,NG-18355,OFF-PA-10004082-0,0.0,2,15.96,7.98,3743,Yes
18,CA-2014-100860,Second Class,CS-12505,OFF-LA-10001982-0,0.0,5,18.75,9.0,3986,No
19,CA-2014-100867,Standard Class,EH-14125,TEC-PH-10004922-0,0.2,6,321.552,20.097,3779,Yes
20,CA-2014-100881,Standard Class,DR-12940,TEC-PH-10003273-0,0.2,3,302.376,22.6782,3984,No
21,CA-2014-100895,Standard Class,SV-20785,OFF-AR-10004511-0,0.0,2,8.56,2.6536,3918,No
22,CA-2014-100895,Standard Class,SV-20785,OFF-ST-10001490-0,0.0,2,356.94,107.082,3918,No
23,CA-2014-100895,Standard Class,SV-20785,TEC-PH-10001425-0,0.0,3,239.97,67.1916,3918,No
24,CA-2014-100916,Standard Class,FH-14275,FUR-TA-10004607-0,0.0,4,591.32,112.3508,3777,No
25,CA-2014-100916,Standard Class,FH-14275,OFF-AR-10001022-0,0.0,1,2.84,0.8804,3777,No
26,CA-2014-100916,Standard Class,FH-14275,OFF-ST-10003479-0,0.0,5,194.7,9.735,3777,No
27,CA-2014-100972,Second Class,DB-13360,OFF-PA-10000357-0,0.0,3,166.44,79.8912,3748,No
