,index,Category,Sub-Category,Product Name,Product ID
0,3512,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",FUR-BO-10000112-0
1,1760,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",FUR-BO-10000330-0
2,1594,Furniture,Bookcases,Sauder Inglewood Library Bookcases,FUR-BO-10000362-0
3,1932,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,FUR-BO-10000468-0
4,4088,Furniture,Bookcases,"Hon Metal Bookcases, Gray",FUR-BO-10000711-0
5,2403,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,FUR-BO-10000780-0
6,485,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,FUR-BO-10001337-0
7,841,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,FUR-BO-10001519-0
8,7967,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",FUR-BO-10001567-0
9,472,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",FUR-BO-10001601-0
10,3507,Furniture,Bookcases,"Hon Metal Bookcases, Black",FUR-BO-10001608-0
11,736,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,FUR-BO-10001619-0
12,0,Furniture,Bookcases,Bush Somerset Collection Bookcase,FUR-BO-10001798-0
13,1042,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",FUR-BO-10001811-0
14,1860,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",FUR-BO-10001918-0
15,412,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,FUR-BO-10001972-0
16,2225,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",FUR-BO-10002202-0
17,1114,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",FUR-BO-10002206-0
18,2471,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",FUR-BO-10002213-0
19,2115,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,FUR-BO-10002213-1
20,354,Furniture,Bookcases,Sauder Barrister Bookcases,FUR-BO-10002268-0
21,38,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545-0
22,3368,Furniture,Bookcases,"Hon Metal Bookcases, Putty",FUR-BO-10002598-0
23,189,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",FUR-BO-10002613-0
24,468,Furniture,Bookcases,Bush Mission Pointe Library,FUR-BO-10002824-0
25,4184,Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,FUR-BO-10002853-0
26,3351,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",FUR-BO-10002916-0
27,2007,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",FUR-BO-10003034-0
28,1762,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",FUR-BO-10003159-0
29,708,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,FUR-BO-10003272-0
30,2654,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",FUR-BO-10003404-0
31,1302,Furniture,Bookcases,Sauder Cornerstone Collection Library,FUR-BO-10003433-0
32,906,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",FUR-BO-10003441-0
33,2543,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",FUR-BO-10003450-0
34,4423,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,FUR-BO-10003546-0
35,3102,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",FUR-BO-10003660-0
36,4633,Furniture,Bookcases,Sauder Camden County Collection Library,FUR-BO-10003893-0
37,4217,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",FUR-BO-10003894-0
38,1714,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,FUR-BO-10003965-0
39,1723,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",FUR-BO-10003966-0
40,688,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",FUR-BO-10004015-0
41,3910,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",FUR-BO-10004218-0
